ID_Fakta_Akademik,ID_Mahasiswa,ID_MK,ID_Dosen ,ID_Waktu,Jumlah_SKS_Diambil ,Bobot_Nilai,Status_Lulus
230,12,1450,16,20240915,4,0,Tidak Lulus
231,263,1420,25,20230619,2,0,Tidak Lulus
232,109,1272,163,20210215,3,0,Tidak Lulus
233,429,1470,226,20220704,3,2,Lulus
234,76,1285,117,20210325,2,2,Lulus
235,74,1444,53,20240617,3,2,Lulus
236,414,1364,83,20210401,3,0,Tidak Lulus
237,296,1287,94,20240710,4,3,Lulus
238,164,1405,53,20230421,3,0,Tidak Lulus
239,340,1310,25,20221226,2,4,Lulus
240,100,1388,83,20231222,1,0,Tidak Lulus
241,327,1371,151,20230613,4,4,Lulus
242,31,1238,80,20210609,2,1,Tidak Lulus
243,178,1448,105,20211127,2,1,Tidak Lulus
244,134,1339,238,20220206,3,0,Tidak Lulus
245,320,1234,60,20220520,3,0,Tidak Lulus
246,450,1476,147,20241217,2,3,Lulus
247,136,1368,70,20220302,2,3,Lulus
248,103,1353,236,20241123,4,0,Tidak Lulus
249,456,1433,207,20241209,3,0,Tidak Lulus
250,104,1332,52,20230408,3,1,Tidak Lulus
251,429,1267,136,20231109,2,2,Lulus
252,125,1497,90,20230615,4,0,Tidak Lulus
253,313,1441,180,20241108,3,0,Tidak Lulus
254,99,1383,120,20230625,3,1,Tidak Lulus
256,118,1371,246,20230110,4,0,Tidak Lulus
257,285,1220,32,20230122,4,0,Tidak Lulus
258,367,1461,50,20210901,2,3,Lulus
259,304,1508,101,20220816,4,2,Lulus
260,188,1449,201,20220305,2,0,Tidak Lulus
261,236,1351,106,20220608,4,0,Tidak Lulus
262,132,1453,191,20230727,2,2,Lulus
263,125,1353,10,20240908,4,2,Lulus
264,83,1486,67,20230117,2,0,Tidak Lulus
265,272,1273,74,20230120,2,4,Lulus
266,277,1359,45,20220228,3,1,Tidak Lulus
267,42,1372,4,20241017,3,3,Lulus
268,313,1432,226,20231021,3,0,Tidak Lulus
269,395,1248,84,20231015,4,0,Tidak Lulus
270,161,1469,17,20230325,3,2,Lulus
271,290,1281,90,20230918,4,3,Lulus
272,468,1239,44,20220828,2,3,Lulus
273,458,1344,2,20211209,3,0,Tidak Lulus
274,381,1343,239,20220626,2,0,Tidak Lulus
275,431,1268,78,20231109,3,4,Lulus
276,371,1509,40,20230423,4,1,Tidak Lulus
277,495,1439,235,20211118,3,0,Tidak Lulus
278,496,1356,165,20240907,4,3,Lulus
279,67,1257,75,20241119,2,4,Lulus
280,136,1226,227,20240928,3,3,Lulus
281,138,1370,49,20221021,4,2,Lulus
282,478,1501,244,20220506,2,2,Lulus
283,355,1230,215,20210122,3,1,Tidak Lulus
284,166,1351,26,20241113,4,0,Tidak Lulus
285,274,1478,180,20220617,3,2,Lulus
286,225,1363,79,20210203,3,2,Lulus
287,441,1427,159,20221003,2,2,Lulus
288,422,1432,133,20230306,3,0,Tidak Lulus
289,223,1508,20,20230517,4,0,Tidak Lulus
290,377,1363,153,20210209,3,2,Lulus
291,160,1451,114,20210226,4,2,Lulus
292,348,1275,103,20220302,3,1,Tidak Lulus
293,355,1463,240,20220206,2,2,Lulus
294,326,1238,4,20220814,2,1,Tidak Lulus
295,338,1413,223,20221011,2,3,Lulus
296,12,1388,90,20241006,1,0,Tidak Lulus
297,131,1447,177,20210409,3,2,Lulus
298,295,1378,248,20240824,3,0,Tidak Lulus
299,201,1389,83,20240223,2,2,Lulus
300,173,1329,84,20240821,4,0,Tidak Lulus
301,450,1496,72,20230310,2,0,Tidak Lulus
302,443,1398,81,20240212,3,1,Tidak Lulus
303,417,1315,223,20230515,3,4,Lulus
304,422,1273,14,20220416,2,2,Lulus
305,409,1238,133,20210123,2,1,Tidak Lulus
306,313,1229,156,20211112,3,3,Lulus
307,358,1418,79,20221214,3,3,Lulus
308,323,1239,111,20211208,2,3,Lulus
309,495,1240,108,20230604,3,0,Tidak Lulus
310,210,1355,249,20210803,4,3,Lulus
311,233,1420,193,20210522,2,4,Lulus
312,303,1383,55,20210611,3,4,Lulus
313,26,1314,63,20230806,3,0,Tidak Lulus
314,273,1374,46,20210808,2,1,Tidak Lulus
315,373,1234,131,20241011,3,0,Tidak Lulus
316,31,1280,227,20241007,3,3,Lulus
317,296,1289,180,20230527,3,4,Lulus
318,378,1449,58,20211221,2,3,Lulus
319,388,1497,144,20210818,4,2,Lulus
320,56,1226,61,20240205,3,1,Tidak Lulus
321,51,1335,218,20221010,3,2,Lulus
322,466,1402,87,20210508,3,1,Tidak Lulus
323,381,1348,72,20240107,2,4,Lulus
324,155,1366,36,20240613,2,1,Tidak Lulus
325,495,1423,164,20230621,3,4,Lulus
326,180,1390,50,20210319,2,1,Tidak Lulus
327,228,1221,39,20210618,3,1,Tidak Lulus
328,87,1360,23,20230503,2,0,Tidak Lulus
329,185,1323,156,20230206,2,0,Tidak Lulus
330,273,1311,210,20220603,2,4,Lulus
331,195,1401,42,20230201,2,0,Tidak Lulus
332,427,1288,187,20211210,4,1,Tidak Lulus
333,295,1238,47,20210126,2,1,Tidak Lulus
334,360,1505,123,20210513,4,0,Tidak Lulus
335,396,1329,93,20220804,4,0,Tidak Lulus
336,344,1505,231,20240314,4,4,Lulus
337,181,1383,200,20210901,3,1,Tidak Lulus
338,1,1295,74,20221217,4,3,Lulus
339,275,1251,200,20220719,2,3,Lulus
340,192,1467,167,20221121,3,0,Tidak Lulus
341,336,1247,214,20211012,4,1,Tidak Lulus
342,195,1353,216,20240922,4,1,Tidak Lulus
343,18,1423,116,20240323,3,1,Tidak Lulus
344,295,1389,49,20230423,2,0,Tidak Lulus
345,445,1479,203,20240502,3,0,Tidak Lulus
346,217,1223,188,20210301,2,2,Lulus
347,453,1471,23,20230420,3,0,Tidak Lulus
348,321,1360,234,20210707,2,2,Lulus
349,490,1477,235,20240407,2,2,Lulus
350,294,1376,118,20241103,4,1,Tidak Lulus
351,358,1407,200,20240812,2,2,Lulus
352,219,1361,233,20210419,4,2,Lulus
353,339,1497,89,20240518,4,4,Lulus
354,38,1430,191,20230823,3,0,Tidak Lulus
355,361,1289,224,20240914,3,2,Lulus
356,382,1433,115,20240216,3,2,Lulus
357,272,1225,1,20230717,2,4,Lulus
358,445,1360,71,20240921,2,0,Tidak Lulus
359,407,1478,20,20230528,3,0,Tidak Lulus
360,287,1228,127,20240921,3,0,Tidak Lulus
361,285,1470,112,20220326,3,1,Tidak Lulus
362,412,1504,120,20221106,4,2,Lulus
363,274,1472,62,20211124,3,4,Lulus
364,61,1252,149,20240321,2,2,Lulus
365,144,1215,178,20210311,3,4,Lulus
366,500,1365,129,20240827,4,3,Lulus
367,108,1291,101,20230507,2,2,Lulus
368,365,1454,76,20230312,2,2,Lulus
369,137,1481,93,20210809,2,2,Lulus
370,21,1435,199,20240827,3,1,Tidak Lulus
371,281,1216,107,20211215,2,3,Lulus
372,231,1374,40,20230419,2,1,Tidak Lulus
373,46,1329,247,20230227,4,4,Lulus
374,191,1433,121,20230428,3,4,Lulus
375,90,1485,106,20220624,4,3,Lulus
376,263,1277,168,20231011,3,1,Tidak Lulus
377,49,1463,108,20210219,2,4,Lulus
378,449,1509,133,20240608,4,4,Lulus
379,423,1499,177,20241214,4,1,Tidak Lulus
380,283,1349,110,20210605,2,1,Tidak Lulus
381,59,1225,223,20220709,2,4,Lulus
382,498,1284,14,20230409,2,1,Tidak Lulus
383,36,1467,246,20231202,3,2,Lulus
384,159,1400,231,20211105,3,3,Lulus
385,11,1503,106,20210714,4,4,Lulus
386,46,1349,142,20220317,2,2,Lulus
387,262,1356,119,20210918,4,3,Lulus
388,326,1478,58,20210211,3,4,Lulus
389,166,1335,198,20220408,3,2,Lulus
390,331,1241,196,20230628,3,0,Tidak Lulus
391,58,1497,120,20240428,4,4,Lulus
392,471,1299,240,20220616,2,4,Lulus
393,142,1289,41,20230223,3,2,Lulus
394,147,1294,220,20241114,4,3,Lulus
395,304,1501,180,20240317,2,3,Lulus
396,184,1277,185,20221206,3,4,Lulus
397,84,1510,138,20240518,4,2,Lulus
398,456,1504,105,20210727,4,1,Tidak Lulus
399,469,1338,82,20240101,3,4,Lulus
400,299,1263,84,20211228,3,0,Tidak Lulus
401,318,1296,2,20241022,3,1,Tidak Lulus
402,276,1316,205,20210513,3,1,Tidak Lulus
403,272,1300,190,20240706,2,2,Lulus
404,96,1483,209,20230610,4,1,Tidak Lulus
405,207,1387,97,20240704,1,0,Tidak Lulus
406,134,1240,176,20210109,3,3,Lulus
407,460,1445,111,20210901,2,1,Tidak Lulus
408,278,1503,61,20231212,4,2,Lulus
409,236,1216,216,20211007,2,1,Tidak Lulus
410,268,1401,141,20220218,2,3,Lulus
411,76,1287,211,20241126,4,2,Lulus
412,21,1265,75,20210617,2,2,Lulus
413,354,1223,77,20220110,2,0,Tidak Lulus
414,363,1300,84,20230215,2,2,Lulus
415,59,1237,218,20231025,3,4,Lulus
416,452,1389,126,20220804,2,1,Tidak Lulus
417,52,1228,239,20220804,3,4,Lulus
418,452,1491,178,20240809,4,3,Lulus
419,406,1382,229,20240624,3,0,Tidak Lulus
420,431,1413,67,20230905,2,0,Tidak Lulus
421,115,1375,40,20240418,3,3,Lulus
422,261,1294,174,20241107,4,0,Tidak Lulus
423,11,1444,163,20220405,3,3,Lulus
424,441,1277,190,20240623,3,0,Tidak Lulus
425,212,1240,200,20220408,3,1,Tidak Lulus
426,207,1311,2,20241202,2,2,Lulus
427,24,1354,126,20241006,2,0,Tidak Lulus
428,439,1344,136,20240821,3,4,Lulus
429,223,1265,82,20241007,2,1,Tidak Lulus
430,408,1255,171,20240405,3,2,Lulus
431,14,1426,28,20230421,2,3,Lulus
432,305,1454,130,20230612,2,3,Lulus
433,47,1432,141,20241214,3,3,Lulus
434,268,1357,236,20211005,2,4,Lulus
435,108,1254,14,20240909,4,2,Lulus
436,305,1449,216,20240613,2,0,Tidak Lulus
437,30,1360,188,20220717,2,0,Tidak Lulus
438,88,1486,163,20221026,2,2,Lulus
439,427,1426,106,20240410,2,2,Lulus
440,252,1281,100,20220627,4,3,Lulus
441,446,1381,149,20210626,3,1,Tidak Lulus
442,457,1337,137,20221219,3,4,Lulus
443,410,1305,171,20241004,4,2,Lulus
444,438,1244,38,20211223,3,4,Lulus
445,292,1304,27,20221219,2,0,Tidak Lulus
446,70,1231,199,20210120,3,1,Tidak Lulus
447,332,1482,195,20220402,2,0,Tidak Lulus
448,376,1232,184,20240218,2,4,Lulus
449,23,1322,31,20221213,3,4,Lulus
450,149,1441,119,20210908,3,1,Tidak Lulus
451,47,1362,40,20220902,4,3,Lulus
452,456,1235,134,20220612,3,1,Tidak Lulus
453,51,1469,64,20240811,3,3,Lulus
454,451,1488,46,20240316,2,3,Lulus
455,404,1314,85,20210702,3,3,Lulus
456,335,1274,165,20211021,2,1,Tidak Lulus
457,98,1410,240,20230310,2,4,Lulus
458,84,1323,229,20210401,2,0,Tidak Lulus
459,123,1426,22,20230711,2,1,Tidak Lulus
460,493,1305,86,20230625,4,3,Lulus
461,399,1293,1,20210617,2,1,Tidak Lulus
462,35,1226,72,20210226,3,4,Lulus
463,494,1419,202,20240102,3,1,Tidak Lulus
464,340,1428,3,20230403,2,3,Lulus
465,347,1414,33,20220808,2,3,Lulus
466,79,1474,176,20230904,3,3,Lulus
467,213,1297,203,20220214,2,3,Lulus
468,388,1386,216,20240722,2,1,Tidak Lulus
469,482,1346,5,20230208,2,2,Lulus
470,80,1276,121,20240309,3,0,Tidak Lulus
471,345,1221,195,20210808,3,0,Tidak Lulus
472,6,1263,72,20220922,3,2,Lulus
473,73,1245,207,20240606,3,2,Lulus
474,285,1244,136,20241017,3,0,Tidak Lulus
475,112,1319,88,20240303,2,0,Tidak Lulus
476,167,1443,189,20211014,2,4,Lulus
477,183,1314,208,20221015,3,0,Tidak Lulus
478,208,1251,48,20210113,2,1,Tidak Lulus
479,130,1264,217,20230211,3,0,Tidak Lulus
480,385,1427,17,20220111,2,4,Lulus
481,228,1404,205,20230527,3,2,Lulus
482,466,1235,89,20220214,3,2,Lulus
483,388,1304,197,20220304,2,4,Lulus
484,331,1418,67,20240205,3,4,Lulus
485,70,1487,39,20220412,2,1,Tidak Lulus
486,184,1444,114,20240405,3,4,Lulus
487,322,1326,241,20210217,3,4,Lulus
488,17,1474,98,20241111,3,2,Lulus
489,164,1384,100,20210206,2,0,Tidak Lulus
490,368,1331,247,20221109,3,0,Tidak Lulus
491,403,1447,134,20220410,3,4,Lulus
492,281,1317,122,20221223,2,3,Lulus
493,368,1339,27,20211004,3,4,Lulus
494,68,1278,183,20220608,3,4,Lulus
495,447,1354,60,20221218,2,1,Tidak Lulus
496,73,1406,176,20231204,2,4,Lulus
497,50,1262,152,20240323,3,2,Lulus
498,456,1338,11,20240613,3,0,Tidak Lulus
499,437,1256,104,20241011,2,1,Tidak Lulus
500,405,1354,11,20210614,2,0,Tidak Lulus
501,446,1430,102,20210126,3,4,Lulus
502,318,1418,12,20220909,3,1,Tidak Lulus
503,18,1497,60,20240506,4,0,Tidak Lulus
505,326,1417,162,20230527,3,1,Tidak Lulus
506,351,1445,244,20221014,2,2,Lulus
507,81,1286,246,20241102,2,3,Lulus
508,248,1461,219,20210508,2,0,Tidak Lulus
509,370,1472,207,20210110,3,0,Tidak Lulus
510,373,1328,144,20221111,3,2,Lulus
511,19,1398,88,20241025,3,3,Lulus
512,6,1449,206,20231205,2,4,Lulus
513,475,1255,198,20230402,3,3,Lulus
514,15,1222,32,20241001,3,4,Lulus
515,11,1358,102,20240113,2,0,Tidak Lulus
516,353,1270,25,20240217,3,3,Lulus
517,123,1370,239,20210812,4,0,Tidak Lulus
518,349,1242,206,20230927,3,2,Lulus
519,29,1446,224,20210120,3,3,Lulus
520,195,1410,220,20230923,2,0,Tidak Lulus
521,301,1354,31,20221223,2,1,Tidak Lulus
522,497,1285,82,20241219,2,4,Lulus
523,247,1217,90,20211214,2,3,Lulus
524,154,1391,199,20220420,2,2,Lulus
525,467,1349,148,20220328,2,2,Lulus
526,473,1312,163,20240423,2,1,Tidak Lulus
527,291,1270,181,20230423,3,1,Tidak Lulus
528,255,1254,22,20211018,4,4,Lulus
529,54,1433,148,20240520,3,2,Lulus
530,63,1333,12,20231220,2,3,Lulus
531,151,1265,135,20240610,2,0,Tidak Lulus
532,426,1474,238,20241013,3,4,Lulus
533,353,1412,69,20230401,3,0,Tidak Lulus
534,296,1332,109,20211010,3,1,Tidak Lulus
535,417,1228,97,20210301,3,0,Tidak Lulus
536,35,1290,146,20220815,2,0,Tidak Lulus
537,52,1303,97,20240414,2,0,Tidak Lulus
538,383,1400,202,20230921,3,1,Tidak Lulus
539,91,1408,160,20211106,2,2,Lulus
540,117,1253,122,20220417,2,2,Lulus
541,148,1434,52,20210918,3,3,Lulus
542,194,1413,239,20230908,2,4,Lulus
543,269,1439,79,20210302,3,0,Tidak Lulus
544,377,1290,45,20231010,2,2,Lulus
545,49,1483,85,20230424,4,4,Lulus
546,66,1364,38,20240207,3,3,Lulus
547,226,1485,158,20210112,4,1,Tidak Lulus
548,472,1475,30,20240518,3,0,Tidak Lulus
549,427,1387,117,20210722,1,1,Tidak Lulus
550,323,1215,103,20220713,3,3,Lulus
551,449,1472,81,20231113,3,2,Lulus
552,359,1499,93,20220611,4,1,Tidak Lulus
553,402,1474,212,20220822,3,0,Tidak Lulus
554,287,1390,249,20210602,2,1,Tidak Lulus
555,294,1369,155,20230912,4,1,Tidak Lulus
556,222,1504,29,20220409,4,4,Lulus
557,113,1264,127,20240410,3,3,Lulus
558,324,1493,91,20221217,2,0,Tidak Lulus
559,129,1412,57,20240413,3,2,Lulus
560,87,1406,176,20221003,2,1,Tidak Lulus
561,364,1309,61,20221228,2,0,Tidak Lulus
562,376,1306,103,20230205,4,3,Lulus
563,279,1306,81,20220121,4,1,Tidak Lulus
564,432,1425,191,20230821,2,2,Lulus
565,464,1316,134,20230512,3,1,Tidak Lulus
566,440,1298,149,20210517,2,3,Lulus
567,339,1337,20,20210507,3,2,Lulus
568,474,1248,93,20220815,4,1,Tidak Lulus
569,301,1264,115,20220403,3,2,Lulus
570,417,1279,142,20230728,3,4,Lulus
571,387,1369,51,20220522,4,3,Lulus
572,307,1291,21,20231102,2,2,Lulus
573,308,1428,35,20230528,2,1,Tidak Lulus
574,345,1325,74,20221125,2,4,Lulus
575,24,1367,172,20221018,2,4,Lulus
576,370,1255,32,20240818,3,0,Tidak Lulus
577,296,1449,74,20231113,2,3,Lulus
578,383,1431,26,20210910,3,2,Lulus
579,274,1334,7,20220822,3,1,Tidak Lulus
580,33,1253,235,20240819,2,3,Lulus
581,372,1481,28,20240419,2,4,Lulus
582,340,1340,216,20230212,2,1,Tidak Lulus
583,296,1503,196,20210127,4,4,Lulus
584,368,1319,84,20241118,2,4,Lulus
585,76,1504,233,20240523,4,1,Tidak Lulus
586,125,1353,125,20230307,4,0,Tidak Lulus
587,345,1376,104,20230523,4,3,Lulus
588,471,1495,233,20220117,2,1,Tidak Lulus
